iter	RMSE
0	1.560750879
1	1.463238024
2	1.380022981
3	1.308419836
4	1.248171666
5	1.19282494
6	1.148289752
7	1.107353284
8	1.073028362
9	1.042849808
10	1.016402992
11	0.987806237
12	0.96724138
13	0.9489371184
14	0.9325027862
15	0.9122487042
16	0.8989161989
17	0.8833114114
18	0.8728416466
19	0.8622149958
20	0.8525057775
21	0.8441350811
22	0.8362659414
23	0.8281946293
24	0.8203141378
25	0.8138510613
26	0.8071636032
27	0.8013200927
28	0.7954272548
29	0.7903699349
30	0.7855562148
31	0.7810292632
32	0.7759401138
33	0.7720152049
34	0.7678957562
35	0.7641570786
36	0.760600696
37	0.7571302811
38	0.7538015918
39	0.7454223131
40	0.7414775172
41	0.7384193598
42	0.7343036426
43	0.730245215
44	0.7276696079
45	0.7250114854
46	0.7172323405
47	0.7149600669
48	0.7126549606
49	0.7072211315
50	0.7035948969
51	0.7013821822
52	0.6961991901
53	0.6931236486
54	0.690677318
55	0.6881344008
56	0.6861673889
57	0.6842901789
58	0.6805678699
59	0.6781202505
60	0.6760873685
61	0.6699322897
62	0.6683019302
63	0.6667557515
64	0.6645181491
65	0.6624751199
66	0.6609879363
67	0.6557570721
68	0.6542988169
69	0.6503131577
70	0.6479619028
71	0.6458046307
72	0.6443978412
73	0.6430913731
74	0.6396962748
75	0.6384444817
76	0.6360585884
77	0.6342093237
78	0.6330702744
79	0.6308150052
80	0.6270251094
81	0.624809969
82	0.6235577092
83	0.6219880256
84	0.620950385
85	0.6192310401
86	0.6182681774
87	0.6162259942
88	0.6153358101
89	0.6128642168
90	0.6113922084
91	0.6078870169
92	0.6066478507
93	0.6053224294
94	0.6037476616
95	0.6026235263
96	0.6014137768
97	0.6003454049
98	0.5992337721
99	0.5978025673
100	0.5970375327
101	0.5961342797
102	0.5946425518
103	0.5934315577
104	0.5925681531
105	0.5918009039
106	0.5904942548
107	0.5897595191
108	0.5890084673
109	0.5878425392
110	0.5866557193
111	0.5849528164
112	0.5834783423
113	0.5820163502
114	0.5808744676
115	0.5795785759
116	0.5789412849
117	0.5782685401
118	0.577161429
119	0.5763012281
120	0.5756758146
121	0.5750066632
122	0.5743079179
123	0.5734573849
124	0.5722463868
125	0.5712059524
126	0.5699749335
127	0.5688388209
128	0.5677607635
129	0.5671031078
130	0.5663212267
131	0.5651598129
132	0.5638938641
133	0.5631353643
134	0.5624707159
135	0.5620016494
136	0.5608793955
137	0.5601876599
138	0.5588444499
139	0.5579955937
140	0.5573281778
141	0.5564531396
142	0.555577656
143	0.5548731907
144	0.5542612294
145	0.5536052343
146	0.5527305726
147	0.5519698863
148	0.5513071475
149	0.5497082637
150	0.548946022
151	0.5478589976
152	0.5466073991
153	0.5458738005
154	0.545365427
155	0.5445268588
156	0.5440936329
157	0.5434263805
158	0.5422336251
159	0.5407515949
160	0.5400782691
161	0.5395515862
162	0.5386049553
163	0.5379594917
164	0.5376077175
165	0.5365656041
166	0.5357813982
167	0.5344460867
168	0.5340249536
169	0.5336382755
170	0.5330206853
171	0.5323475285
172	0.5319159816
173	0.5312774445
174	0.5306330144
175	0.5301509809
176	0.5290626304
177	0.5284880997
178	0.5272978734
179	0.5269326105
180	0.5263309169
181	0.5256749486
182	0.5248463248
183	0.5243491333
184	0.5238891554
185	0.5235052667
186	0.5230520461
187	0.5219814073
188	0.5215771698
189	0.5211336896
190	0.5206953697
191	0.5202155891
192	0.5198973941
193	0.5194240257
194	0.5189792974
195	0.5183372776
196	0.5178671078
197	0.5172523731
198	0.516463335
199	0.516099581
200	0.515490798
201	0.5149539411
202	0.5145425207
203	0.5141337155
204	0.5134521149
205	0.5129611126
206	0.5122050064
207	0.5119236927
208	0.5115268774
209	0.5111161945
210	0.51080561
211	0.5103810966
212	0.5087797139
213	0.5083623496
214	0.5070973939
215	0.5065606106
216	0.5060412577
217	0.5052965751
218	0.5046557218
219	0.5044201914
220	0.5039596148
221	0.5034587979
222	0.5030888546
223	0.5025880735
224	0.5022693286
225	0.5017710701
226	0.5013555479
227	0.501094063
228	0.5007465411
229	0.5001891874
230	0.4998788958
231	0.4996389813
232	0.4992459395
233	0.4987721068
234	0.4984846632
235	0.4979992209
236	0.4972735203
237	0.4969053992
238	0.4955660138
239	0.4949220164
240	0.4946377946
241	0.4943711575
242	0.4939250105
243	0.4934530822
244	0.4931772572
245	0.4928104484
246	0.4924037408
247	0.4920711015
248	0.4917987299
249	0.4914683602
250	0.4912256661
251	0.4907631946
252	0.4904269056
253	0.4901179283
254	0.4898017088
255	0.4895591307
256	0.4892295195
257	0.4889651559
258	0.4884874268
259	0.4881201829
260	0.4878693562
261	0.4873965771
262	0.4870028983
263	0.4866943744
264	0.4864113407
265	0.4861240362
266	0.485904474
267	0.4856433203
268	0.4853421281
269	0.4850549077
270	0.4847603004
271	0.4842691428
272	0.4838893795
273	0.4834196244
274	0.4830917384
275	0.4827645756
276	0.4825435693
277	0.4822619407
278	0.4820014102
279	0.4816940175
280	0.4813713652
281	0.4810682157
282	0.4806457192
283	0.4803692808
284	0.4800566302
285	0.4794018251
286	0.479176003
287	0.4787316014
288	0.4785176557
289	0.4782864335
290	0.4778502254
291	0.4776575143
292	0.4773857813
293	0.4769820943
294	0.4766685684
295	0.4762838677
296	0.4760670975
297	0.4758080168
298	0.4754508817
299	0.4750318329
300	0.4748002111
301	0.4745188443
302	0.4742083353
303	0.4739822801
304	0.4736754038
305	0.4735015726
306	0.4732250754
307	0.4729270678
308	0.4727096501
309	0.4725085118
310	0.472272332
311	0.4720702311
312	0.4718580525
313	0.4713036706
314	0.4710901592
315	0.470812461
316	0.4705711746
317	0.4698170497
318	0.4693673539
319	0.4691891184
320	0.4689208864
321	0.4685293228
322	0.4682981416
323	0.4681130458
324	0.4678502333
325	0.4674541562
326	0.4672929809
327	0.4670722986
328	0.466818582
329	0.4666653116
330	0.4663855978
331	0.4660921118
332	0.4659099867
333	0.4656956829
334	0.4654599468
335	0.4651210128
336	0.4648945703
337	0.4646763796
338	0.4644585376
339	0.4641010277
340	0.4638968087
341	0.4637339934
342	0.4634004875
343	0.463159515
344	0.4628740226
345	0.4626838725
346	0.4624507094
347	0.4622236131
348	0.4619854231
349	0.4618265113
350	0.4615690128
351	0.461415192
352	0.4610600603
353	0.4608792534
354	0.4607389798
355	0.4605714253
356	0.4604161031
357	0.4602767595
358	0.4599668946
359	0.4597745316
360	0.4594890219
361	0.4592646819
362	0.4590750997
363	0.4588474918
364	0.4586291794
365	0.4584737137
366	0.458256115
367	0.4581112995
368	0.4574252741
369	0.4572660621
370	0.4571523656
371	0.4569741621
372	0.4568197431
373	0.4564708321
374	0.4562762863
375	0.4561226601
376	0.4558691096
377	0.4556734813
378	0.4554888202
379	0.4553134986
380	0.4549013311
381	0.4547274021
382	0.4544059275
383	0.4543012449
384	0.4540572053
385	0.4536607095
386	0.4534896956
387	0.4531081689
388	0.4528457012
389	0.4526785571
390	0.452476718
391	0.4523392319
392	0.4521789411
