iter	Passed	Remaining
0	27	27674
1	59	29471
2	93	31199
3	124	31084
4	155	30903
5	183	30476
6	213	30216
7	243	30145
8	279	30762
9	307	30447
10	338	30394
11	369	30443
12	400	30379
13	427	30120
14	456	29978
15	486	29922
16	513	29668
17	541	29533
18	568	29375
19	600	29447
20	629	29334
21	660	29347
22	689	29289
23	717	29158
24	747	29154
25	779	29193
26	810	29211
27	840	29181
28	872	29219
29	902	29182
30	932	29135
31	962	29129
32	994	29133
33	1021	29034
34	1051	28999
35	1078	28890
36	1106	28798
37	1137	28799
38	1164	28689
39	1190	28563
40	1217	28482
41	1246	28422
42	1276	28413
43	1304	28337
44	1330	28225
45	1357	28144
46	1385	28090
47	1411	28002
48	1437	27889
49	1467	27890
50	1496	27842
51	1522	27748
52	1550	27698
53	1579	27667
54	1606	27598
55	1635	27564
56	1663	27520
57	1692	27485
58	1720	27432
59	1747	27370
60	1775	27333
61	1802	27264
62	1828	27196
63	1854	27115
64	1879	27031
65	1908	27001
66	1934	26945
67	1962	26904
68	1989	26844
69	2017	26805
70	2049	26810
71	2078	26795
72	2106	26753
73	2131	26671
74	2160	26641
75	2190	26628
76	2219	26608
77	2247	26566
78	2277	26553
79	2307	26533
80	2335	26499
81	2366	26490
82	2395	26465
83	2421	26408
84	2446	26334
85	2474	26299
86	2500	26241
87	2528	26208
88	2555	26158
89	2582	26107
90	2608	26055
91	2638	26040
92	2665	25991
93	2695	25978
94	2724	25951
95	2752	25921
96	2779	25879
97	2808	25846
98	2836	25817
99	2861	25756
100	2888	25709
101	2919	25701
102	2953	25718
103	2983	25702
104	3011	25672
105	3041	25651
106	3072	25643
107	3098	25589
108	3128	25573
109	3157	25544
110	3186	25520
111	3220	25530
112	3252	25528
113	3284	25524
114	3312	25495
115	3342	25470
116	3368	25425
117	3396	25385
118	3423	25348
119	3453	25328
120	3481	25290
121	3507	25241
122	3534	25198
123	3561	25158
124	3588	25119
125	3615	25077
126	3644	25052
127	3674	25032
128	3705	25019
129	3734	24993
130	3764	24969
131	3794	24953
132	3824	24933
133	3853	24900
134	3882	24874
135	3909	24836
136	3937	24801
137	3967	24781
138	3995	24751
139	4022	24711
140	4051	24680
141	4077	24639
142	4106	24607
143	4133	24572
144	4161	24540
145	4193	24531
146	4223	24510
147	4263	24546
148	4294	24530
149	4326	24518
150	4357	24497
151	4384	24462
152	4414	24435
153	4440	24395
154	4468	24358
155	4497	24334
156	4525	24297
157	4552	24261
158	4581	24231
159	4609	24200
160	4636	24162
161	4665	24133
162	4696	24118
163	4726	24091
164	4754	24059
165	4781	24022
166	4808	23986
167	4835	23946
168	4865	23922
169	4895	23901
170	4930	23902
171	4958	23868
172	4986	23838
173	5016	23814
174	5046	23789
175	5075	23763
176	5104	23735
177	5134	23711
178	5168	23704
179	5197	23679
180	5227	23655
181	5260	23644
182	5290	23617
183	5321	23601
184	5351	23575
185	5380	23547
186	5409	23520
187	5439	23492
188	5465	23454
189	5493	23420
190	5519	23380
191	5548	23350
192	5576	23317
193	5606	23292
194	5637	23271
195	5666	23244
196	5697	23225
197	5724	23187
198	5752	23155
199	5778	23113
200	5806	23079
201	5833	23045
202	5862	23017
203	5892	22992
204	5922	22965
205	5950	22936
206	5979	22907
207	6007	22875
208	6034	22840
209	6064	22812
210	6089	22772
211	6120	22748
